1,2,3,4,5,6,7,8,9,10,11,12,13,14,centre_pile,player_in_play,dices
98,100,100,100,100,100,100,100,100,100,100,100,100,102,0,1,"['d', 'L', 'L']"
98,99,101,100,100,100,100,100,100,100,100,100,100,102,0,2,"['R', 'd', 'd']"
97,99,103,100,100,100,100,100,100,100,100,99,100,102,0,3,"['d', 'pd', 'pd']"
97,99,103,98,101,100,100,100,100,100,100,99,100,102,1,4,"['d', 'C', 'R']"
97,99,103,100,98,101,100,100,100,100,100,99,100,102,1,5,"['R', 'L', 'L']"
97,99,103,100,98,101,101,100,100,100,100,98,100,102,1,6,"['R', 'd', 'pd']"
97,99,103,100,98,102,99,100,100,100,100,98,100,102,2,7,"['L', 'd', 'C']"
97,99,103,100,98,102,99,100,100,100,100,98,100,102,2,8,"['d', 'd', 'd']"
97,99,103,100,98,102,99,101,97,101,100,98,100,102,3,9,"['R', 'C', 'L']"
97,99,103,100,98,102,99,101,97,99,100,98,100,102,5,10,"['d', 'C', 'C']"
97,99,103,100,98,102,99,101,97,99,99,99,100,102,5,11,"['d', 'd', 'R']"
97,98,103,100,98,102,99,101,97,99,99,100,100,102,5,12,"['d', 'd', 'pd']"
97,98,103,100,98,102,99,101,96,99,99,101,99,102,6,13,"['pd', 'L', 'C']"
97,98,103,100,97,102,99,101,96,99,99,101,100,102,6,14,"['L', 'pd', 'd']"
96,99,103,100,97,102,99,101,96,99,99,101,100,102,6,1,"['R', 'd', 'd']"
97,97,104,100,97,102,99,101,96,99,99,101,100,102,6,2,"['L', 'd', 'R']"
97,97,105,100,96,102,99,101,96,99,99,101,100,102,6,3,"['pd', 'd', 'd']"
97,97,105,98,97,102,99,101,96,99,99,101,100,102,7,4,"['R', 'C', 'd']"
97,97,105,99,96,102,99,101,96,99,99,101,100,102,7,5,"['d', 'd', 'L']"
96,97,104,99,96,103,100,101,96,99,99,101,100,102,7,6,"['pd', 'R', 'pd']"
96,97,104,98,96,103,101,102,96,98,99,101,100,102,7,7,"['pd', 'R', 'pd']"
96,97,104,98,96,103,102,102,96,98,98,101,100,102,7,8,"['d', 'L', 'pd']"
95,97,104,98,96,103,102,102,96,98,98,101,100,102,8,9,"['C', 'd', 'pd']"
95,97,104,98,96,103,102,102,96,97,99,100,100,102,9,10,"['C', 'pd', 'R']"
95,97,104,98,96,103,102,102,96,97,98,100,100,102,10,11,"['d', 'C', 'd']"
95,97,104,98,96,103,102,102,96,97,98,97,101,102,12,12,"['C', 'R', 'C']"
95,97,104,98,96,103,102,102,96,97,98,98,99,102,13,13,"['L', 'C', 'd']"
95,97,104,98,96,103,102,102,96,97,98,98,99,101,14,14,"['C', 'd', 'd']"
96,97,104,97,96,103,102,102,96,97,98,98,99,101,14,1,"['d', 'pd', 'd']"
96,95,105,97,96,103,102,102,96,97,98,98,99,101,15,2,"['d', 'R', 'C']"
96,96,103,98,96,103,102,102,96,97,98,98,99,101,15,3,"['d', 'L', 'R']"
96,96,103,99,96,103,102,102,96,97,98,98,98,101,15,4,"['d', 'd', 'pd']"
96,96,103,100,93,104,102,102,96,97,98,98,98,101,16,5,"['R', 'L', 'C']"
96,96,103,100,94,104,102,102,96,97,98,98,97,101,16,6,"['L', 'd', 'pd']"
96,96,103,100,94,105,101,102,96,97,98,98,97,101,16,7,"['d', 'd', 'L']"
96,96,103,100,94,105,101,101,96,97,98,98,97,101,17,8,"['C', 'd', 'd']"
96,96,102,100,94,105,101,101,97,97,98,98,96,101,18,9,"['pd', 'C', 'pd']"
96,96,102,100,94,105,101,101,97,95,99,98,96,101,19,10,"['C', 'd', 'R']"
96,96,102,99,94,105,101,101,96,96,100,98,96,101,19,11,"['pd', 'pd', 'L']"
96,96,102,98,94,105,101,101,96,96,100,98,96,101,20,12,"['pd', 'd', 'C']"
96,96,102,98,94,105,101,101,96,96,100,99,94,102,20,13,"['R', 'L', 'd']"
97,96,102,98,94,105,100,101,96,96,100,99,94,101,21,14,"['pd', 'R', 'C']"
97,96,102,98,94,105,99,101,96,96,100,99,94,101,22,1,"['d', 'C', 'pd']"
97,96,102,98,94,105,99,101,96,96,100,99,94,101,22,2,"['d', 'd', 'd']"
97,97,99,98,94,105,99,101,96,96,100,99,94,101,24,3,"['C', 'L', 'C']"
97,96,99,98,95,105,99,101,96,96,100,99,94,101,24,4,"['d', 'R', 'pd']"
97,96,99,98,92,106,99,101,96,96,100,99,94,101,26,5,"['R', 'C', 'C']"
97,96,99,98,92,106,99,101,96,95,100,99,94,101,27,6,"['pd', 'd', 'C']"
97,96,99,98,92,106,98,102,96,95,100,99,94,101,27,7,"['d', 'R', 'd']"
97,95,99,98,92,106,98,103,96,95,100,99,93,101,28,8,"['C', 'pd', 'pd']"
97,94,99,98,92,106,98,104,95,96,100,99,93,101,28,9,"['pd', 'R', 'L']"
97,94,99,98,92,106,98,103,95,97,101,99,92,101,28,10,"['pd', 'pd', 'R']"
96,94,99,98,92,106,98,103,95,97,102,99,92,101,28,11,"['d', 'pd', 'd']"
96,94,99,98,92,106,98,103,95,97,102,97,92,101,30,12,"['C', 'C', 'd']"
96,94,99,98,92,106,98,103,95,97,102,98,91,101,30,13,"['d', 'd', 'L']"
96,94,99,98,92,105,98,103,95,97,102,98,91,102,30,14,"['pd', 'd', 'd']"
96,94,99,98,92,105,98,103,95,97,101,98,91,103,30,1,"['L', 'pd', 'd']"
96,92,100,98,92,105,98,103,95,97,101,98,91,103,31,2,"['d', 'C', 'R']"
96,93,98,99,92,105,98,103,95,97,101,98,91,103,31,3,"['d', 'L', 'R']"
96,93,98,98,93,105,98,103,95,97,101,98,91,103,31,4,"['R', 'd', 'd']"
96,93,98,98,92,106,98,103,95,97,101,98,91,103,31,5,"['R', 'd', 'd']"
96,93,98,98,93,104,99,103,95,97,101,98,91,103,31,6,"['d', 'R', 'L']"
96,93,98,98,93,104,98,104,95,97,101,98,91,103,31,7,"['d', 'd', 'R']"
96,93,98,98,93,104,99,102,95,97,101,98,91,103,32,8,"['C', 'L', 'd']"
96,93,98,98,92,104,99,102,96,97,101,98,91,103,32,9,"['d', 'd', 'pd']"
96,92,98,98,92,104,99,102,98,96,101,98,91,103,32,10,"['L', 'pd', 'L']"
96,92,98,98,92,104,99,102,98,96,100,99,91,103,32,11,"['R', 'd', 'd']"
96,92,98,98,92,104,99,102,98,96,102,97,91,103,32,12,"['L', 'L', 'd']"
96,92,98,98,92,104,99,102,98,96,102,98,89,103,33,13,"['C', 'L', 'd']"
97,92,98,97,92,104,99,102,98,96,102,98,89,102,34,14,"['C', 'R', 'pd']"
98,92,98,97,91,104,99,101,98,96,102,98,89,102,35,1,"['pd', 'pd', 'C']"
98,90,98,97,91,104,99,101,98,96,102,98,89,102,37,2,"['d', 'C', 'C']"
98,91,95,98,91,104,99,101,98,96,102,98,89,102,38,3,"['L', 'C', 'R']"
98,91,96,96,92,104,99,101,98,96,102,98,89,102,38,4,"['d', 'L', 'R']"
98,91,96,96,89,105,99,101,98,96,102,98,89,102,40,5,"['R', 'C', 'C']"
98,91,96,96,89,105,99,101,98,96,102,98,88,102,41,6,"['C', 'pd', 'd']"
98,91,96,96,89,105,97,103,98,96,102,98,88,102,41,7,"['R', 'd', 'R']"
